ID,Chain,Protein_Type,Protein_ResID,Lipid_Type,Lipid_ResID,#Frames,Fraction_Frames,Temperature(K),Substrate?
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,796,177,0.002458299,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,924,86,0.001194428,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,964,51,0.000708323,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,864,2,2.78E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,987,2,2.78E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,757,43,0.000597214,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,760,5,6.94E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,925,745,0.010347079,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPG,942,5,6.94E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPG,949,3,4.17E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPG,763,5,6.94E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,CDL2,806,88,0.001222205,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,CDL2,844,2,2.78E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,811,475,0.006597131,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPG,823,4,5.56E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,784,53,0.000736101,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,955,11,0.000152776,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,799,4,5.56E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,963,64,0.000888877,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,829,234,0.003249955,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,880,96,0.001333315,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,939,1128,0.015666449,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,840,13,0.000180553,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,970,51,0.000708323,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,756,35,0.000486104,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,716,337,0.004680491,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,777,4,5.56E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,724,12,0.000166664,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,965,3,4.17E-05,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,863,2296,0.031888446,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,802,194,0.002694407,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,715,18,0.000249997,303.15,Yes
HlyB Closed Coarse Grain Repeat,A,GLN,19,POPE,718,491,0.00681935,303.15,Yes
